test_id;elapsed_time;temp_c;humidity_percent;airflow_level;water_left_percent;evap_rate
1;15;26.5;63;0;94;
1;30;26.5;61;0;87;7
1;45;26.5;63;0;82;5
1;60;26.5;64;0;78;4
1;75;26.5;61;0;74;4
1;90;26.5;61;0;70.5;3.5
1;105;26.5;63;0;67;3.5
1;120;26.5;64;0;63;4
1;150;26.5;61;0;54;9
1;180;26.5;62;0;47;7
1;210;26.5;59;0;38.5;8.5
1;240;26.5;58;0;30.5;8
2;15;33;45;1;81;
2;30;30;50;1;65;16
2;45;30;52;1;49;16
2;60;29;52;1;31.5;17.5
2;75;29;53;1;16.5;15
2;90;29;52;1;7;9.5
2;105;28;53;1;2.5;4.5
3;15;29;50;0;88;
3;30;29.5;47;0;78;10
3;45;29.5;46;0;68;10
3;60;29;48;0;58;10
3;75;29;48;0;48.5;9.5
3;90;29;46;0;39.5;9
3;105;29;45;0;30;9.5
3;120;29;48;0;23;7
3;135;28.5;48;0;16;7
3;150;28.5;49;0;10;6
4;15;24;63;1;91;
4;30;24;63;1;84;7
4;45;23.5;64;1;77.5;6.5
4;60;23.5;64;1;70;7.5
4;75;23.5;66;1;64;6
4;90;23.5;67;1;58;6
4;105;23.5;69;1;53;5
4;120;23;72;1;48.5;4.5
4;135;23;74;1;44.5;4
4;150;23;74;1;40.5;4
5;15;23;56;1;82.5;
5;30;23;58;1;71;11.5
5;45;22.5;60;1;60.5;10.5
5;60;22.5;62;1;51;9.5
5;75;22.5;63;1;42;9
5;90;22;64;1;35;7
5;105;22;65;1;28.5;6.5
5;120;22;66;1;23;5.5
6;15;25.5;70;2;85.5;
6;30;25.5;72;2;72.5;13
6;45;25.5;73;2;59;13.5
6;60;25.5;72;2;45.5;13.5
6;75;25.5;71;2;34.5;11
6;90;25.5;70;2;24;10.5
7;15;24.5;66;0;95.5;
7;30;24.5;67;0;91;4.5
7;45;24.5;67;0;88;3
7;60;24.5;68;0;84.5;3.5
7;75;24.5;68;0;81;3.5
7;90;24.5;68;0;78.5;2.5
7;105;24.5;68;0;75;3.5
7;120;24.5;68;0;72;3
7;135;24.5;67;0;69;3
8;15;25;62;2;85;
8;30;25;63;2;71;14
8;45;25;64;2;56.5;14.5
8;60;25;65;2;43;13.5
8;75;25;65;2;30;13
8;90;25;65;2;18.5;11.5
8;105;24.5;65;2;10;8.5
8;120;24.5;65;2;5.5;4.5
9;15;23;67;2;86;
9;30;23;67;2;74;12
9;45;23;67;2;61.5;12.5
9;60;23;68;2;48.5;13
9;75;23;69;2;36.5;12
9;90;23;69;2;26.5;10
9;105;23;69;2;18;8.5
9;120;23;69;2;9.5;8.5
9;135;23;69;2;5;4.5
10;15;25.5;100;0;96.5;
10;30;25.5;99;0;93;3.5
10;45;25.5;99;0;90;3
10;60;25.5;100;0;87.5;2.5
10;75;25.5;99;0;86;1.5
10;90;25.5;97;0;84.5;1.5
10;105;25.5;99;0;83.5;1
10;120;25.5;100;0;83;0.5
11;15;26;99;2;95;
11;30;26;97;2;91;4
11;45;26;98;2;87.5;3.5
11;60;26;97;2;84;3.5
11;75;26;96;2;80;4
11;90;26;95;2;75;5
11;105;26;92;2;69.5;5.5
11;120;26;92;2;64.5;5
12;15;20;52;0;94;
12;30;19.5;51;0;88;6
12;45;19.5;53;0;83;5
12;60;19.5;52;0;76.5;6.5
12;75;19.5;54;0;71.5;5
12;90;20;55;0;66;5.5
12;105;20;53;0;61;5
12;120;20;52;0;55.5;5.5
12;135;20;52;0;50.5;5
13;15;25.5;63;0;90;
13;30;25.5;63;0;81;9
13;45;25;62;0;73.5;7.5
13;60;25;64;0;67;6.5
13;75;24.5;65;0;60.5;6.5
13;90;24;67;0;55.5;5
13;105;23.5;69;0;51;4.5
13;120;23;70;0;48.5;2.5
14;15;23.5;61;0;94.5;
14;30;24;62;0;90;4.5
14;45;24;62;0;85.5;4.5
14;60;24;59;0;81;4.5
14;75;24;58;0;78;3
14;90;23.5;57;0;74;4
14;105;23.5;56;0;70;4
14;120;23.5;56;0;65.5;4.5
